time,remain,height,speed,pressure,longitude,latitude,attackAngle,sideslipAngle,dipAngle,heading,ballistic,heatFlow,FXGZ
0.5,10289893.71,99999.8696,7399.9974,15.3069,-105.0456,65.0265,18.3778,0,-0.3682,-36.0413,-0.004,59.8145,0.0007
1,10286273.88,99999.4778,7399.9967,15.308,-105.0912,65.0529,13.3778,0,-0.6997,-36.0827,-0.0081,59.8166,0.0007
1.5,10282654.07,99998.8236,7399.9964,15.3098,-105.137,65.0794,13.3779,0,-1.2664,-36.1242,-0.0122,59.8202,0.0007
2,10279034.28,99997.907,7399.9965,15.3124,-105.1828,65.1058,13.3779,0,-1.7254,-36.1657,-0.0162,59.8252,0.0007
2.5,10275414.5,99996.728,7399.997,15.3157,-105.2287,65.1322,13.3779,0,-2.0971,-36.2074,-0.0203,59.8317,0.0007
3,10271794.73,99995.2867,7399.9978,15.3198,-105.2747,65.1586,13.3779,0,-2.3982,-36.2492,-0.0244,59.8396,0.0007
3.5,10268174.98,99993.583,7399.9989,15.3246,-105.3208,65.185,13.3779,0,-2.746,-36.291,-0.0284,59.849,0.0007
4,10264555.25,99991.6169,7400.0003,15.3301,-105.367,65.2114,13.3779,0,-2.9237,-36.3329,-0.0325,59.8598,0.0007
4.5,10260935.53,99989.3885,7400.0021,15.3364,-105.4133,65.2377,13.3779,0,-2.9994,-36.375,-0.0365,59.8721,0.0007
5,10257315.82,99986.8976,7400.0043,15.3434,-105.4597,65.2641,13.3779,0,-3.0675,-36.4171,-0.0406,59.8859,0.0007
5.5,10253696.12,99984.1444,7400.0067,15.3511,-105.5062,65.2904,13.3779,0,-3.1839,-36.4593,-0.0447,59.901,0.0007
6,10250076.44,99981.1289,7400.0095,15.3597,-105.5528,65.3167,13.3779,0,-2.8099,-36.5016,-0.0487,59.9177,0.0007
6.5,10246456.77,99977.8509,7400.0126,15.3689,-105.5994,65.343,13.3779,0,-2.4733,-36.544,-0.0528,59.9358,0.0007
7,10242837.12,99974.3106,7400.0161,15.3789,-105.6462,65.3693,13.3779,0,-2.1704,-36.5865,-0.0569,59.9554,0.0007
7.5,10239217.47,99970.5079,7400.0199,15.3897,-105.693,65.3956,13.3779,0,-1.6524,-36.6291,-0.0609,59.9764,0.0007
8,10235597.84,99966.4429,7400.0241,15.4012,-105.74,65.4218,13.3779,0,-1.4316,-36.6718,-0.065,59.9989,0.0007
8.5,10231978.22,99962.1155,7400.0286,15.4134,-105.787,65.4481,13.3779,0,-1.2329,-36.7146,-0.069,60.0228,0.0007
9,10228358.61,99957.5257,7400.0334,15.4264,-105.8341,65.4743,13.3779,0,-1.0541,-36.7575,-0.0731,60.0482,0.0007
